n,d,t
1000,369,0.021348725996213035
1000,242,0.017453031997429206
1000,361,0.018679440004052594
1000,320,0.017539597994182258
1000,754,0.05226692799828015
1000,125,0.0071073060017079115
1000,701,0.04042674000142142
1000,552,0.02780249999719672
1000,605,0.0303212820016779
1000,841,0.05457098600338213
1000,550,0.028612753998022527
1000,79,0.00522812400246039
1000,804,0.057428502001566815
1000,720,0.04387160999351181
1000,131,0.006171954000601545
1000,98,0.005255632003536448
1000,694,0.04118165600113571
1000,389,0.020706969993188978
1000,121,0.011121745993150398
1000,50,0.004683026000857353
1000,537,0.036048864000476896
1000,570,0.030317544001154603
1000,866,0.05716852399986237
1000,115,0.0051804840040858835
1000,639,0.033770413999445734
1000,712,0.04114849400124512
1000,725,0.041123265996575356
1000,629,0.032275099999969824
1000,597,0.030401523999171332
1000,269,0.015164808001136407
1000,768,0.04991467999760062
1000,368,0.020061238006455824
1000,690,0.04075879599316977
1000,12,0.00031149399699643255
1000,748,0.04347394000506029
1000,226,0.016234008001629264
1000,588,0.029945598000194876
1000,747,0.04286083600134589
1000,123,0.0056627619988285005
1000,516,0.026213420000858606
1000,229,0.01373911599861458
1000,574,0.02892335600219667
1000,618,0.031181867996929215
1000,825,0.05360924600157887
1000,855,0.056799522000364956
1000,938,0.0629616020002868
1000,190,0.011660051998915151
1000,735,0.04550339200068265
1000,299,0.016631212003994734
1000,42,0.0015022899955511094
1000,437,0.02391363599221222
1000,234,0.01570460799499415
1000,318,0.016397529995301738
1000,946,0.06445287799229846
1000,924,0.061957856004592034
1000,309,0.016168904000660404
1000,444,0.02372863599797711
1000,976,0.0671461720042862
1000,265,0.016449328000890093
1000,272,0.015134213999845087
1000,773,0.050489984004525465
1000,568,0.029423829994630068
1000,587,0.02983556199935265
1000,445,0.023705176002113148
1000,438,0.023688813999760895
1000,492,0.026086654004175217
1000,626,0.03183569600223564
1000,958,0.06562171999830753
1000,873,0.057500104000791905
1000,1000,0.06776415799860842
1000,252,0.016243438000092283
1000,481,0.024403945995727552
1000,378,0.02000840000808239
1000,415,0.0224461739952676
1000,179,0.013155069994973019
1000,867,0.055662621998926624
1000,727,0.042318851999007166
1000,897,0.059076326002832504
1000,634,0.03346888000727631
1000,854,0.05604995399829932
1000,796,0.05250813199672848
1000,379,0.019879948002053425
1000,19,0.0006452000036370009
1000,53,0.0034249939979054036
1000,410,0.024108371996553614
1000,484,0.02513932200265117
1000,251,0.01638410599436611
1000,658,0.036867453994927926
1000,930,0.06252796799875796
1000,742,0.044086950002238154
1000,789,0.05313582599628717
1000,21,0.0007459460047539323
1000,539,0.028339296001940965
1000,734,0.04584870199556462
1000,601,0.029971064002020285
1000,10,0.00020085599506273867
1000,167,0.011486767994938418
1000,227,0.014203626002417877
1000,975,0.06898722200305202
1000,326,0.01711253000656143
1000,404,0.020474352005403488
1000,487,0.025147912002867086
1000,594,0.03001757399761118
1000,723,0.042755767997587096
1000,590,0.030517464007716627
1000,650,0.033928713997593146
1000,896,0.060131620002212005
1000,447,0.023590293996967375
1000,283,0.0163663339917548
1000,465,0.025031102002831176
1000,497,0.025390553993638605
1000,189,0.01156972799450159
1000,920,0.061440438000718134
1000,332,0.017546115997247397
1000,493,0.025594120001187548
1000,722,0.04189925800310448
1000,348,0.017978839999996124
1000,510,0.026377748005324976
1000,812,0.05344771800329909
1000,205,0.014356388002634049
1000,149,0.00813179800286889
1000,678,0.03889729799935594
1000,102,0.006616441999794915
1000,106,0.0070919819979462775
1000,339,0.018680989999556915
1000,407,0.020943655997980384
1000,331,0.016690024002455176
1000,338,0.017266844001132996
1000,505,0.02515469800098799
1000,132,0.008371589995222166
1000,798,0.0519571220013313
1000,367,0.018527342000743373
1000,17,0.0006479560001753271
1000,525,0.02924348000669852
1000,89,0.005555939996847883
1000,814,0.05343165399855934
1000,705,0.037403475998435166
1000,833,0.05377942800405435
1000,697,0.03734692000434734
1000,431,0.022893712000222877
1000,509,0.026902228005928917
1000,13,0.0003707920026499778
1000,598,0.031751004001125696
1000,991,0.06907671199878677
1000,602,0.031729594001080844
1000,473,0.024292482001474127
1000,523,0.026129668009234594
1000,274,0.01583583199419081
1000,667,0.036666125995107
1000,806,0.053352549999253825
1000,409,0.021088694002246486
1000,303,0.01663888799957931
1000,333,0.018495791997993366
1000,870,0.057396045996574684
1000,230,0.014199365999083967
1000,973,0.06493947800016031
1000,391,0.019314770000055433
1000,290,0.015521810005884618
1000,724,0.044486342000309376
1000,152,0.008606951996916905
1000,350,0.019027662001317367
1000,554,0.030679569996427746
1000,772,0.0493612359999679
1000,488,0.024785010003251954
1000,126,0.007700078001944348
1000,392,0.020908378000603987
1000,763,0.048615048003848645
1000,838,0.05558658199966885
1000,970,0.06662896600202657
1000,435,0.02294722800143063
1000,508,0.027068647999549285
1000,477,0.024943498000502586
1000,140,0.008212679998250679
1000,43,0.0023087799991481006
1000,427,0.023608740002382545
1000,341,0.018110803999006747
1000,467,0.023851655999897046
1000,980,0.06721440599882043
1000,617,0.032478762007085604
1000,922,0.06134760799817741
1000,276,0.015636659999145194
1000,952,0.06386791200144216
1000,188,0.01319749999907799
1000,584,0.029587922000791876
1000,462,0.023904694002121685
1000,852,0.056308831988135355
1000,996,0.06823806600063108
1000,306,0.016367624001577496
1000,802,0.05312435800326057
1000,76,0.004086331998696551
1000,464,0.025082073997473343
1000,611,0.03038498600013554
1000,300,0.014837985993362963
1000,988,0.06718540400150232
1000,161,0.009717096000676974
1000,304,0.017186053997138514
1000,478,0.02548364200047217
1000,953,0.06424998799804599
1000,530,0.026895122004207225
1000,999,0.06751961599919014
1000,359,0.018801186005584895
1000,791,0.051823726003058256
1000,644,0.031984611999941986
1000,291,0.015859094001352787
1000,607,0.030912894000066443
1000,239,0.015245528001105412
1000,398,0.0201561700028833
1000,185,0.011201724000275136
1000,30,0.0009975879988633096
1000,243,0.016638802005909382
1000,686,0.03879168399958871
1000,187,0.012170598006341606
1000,585,0.028454709996003656
1000,14,0.00030900599784217776
1000,955,0.06644831599784083
1000,63,0.003184053992154077
1000,77,0.004255602000048384
1000,147,0.009939431998645887
1000,233,0.01512015400105156
1000,543,0.027871215998893605
1000,345,0.017655331999994816
1000,311,0.019065080002183096
1000,907,0.05977318000048399
1000,962,0.06540215399698354
1000,70,0.004924405995989218
1000,749,0.04389481400256045
1000,623,0.032684983998769894
1000,254,0.015559406002284958
1000,440,0.022520321996416896
1000,284,0.015321181996259838
1000,661,0.03578606600058265
1000,184,0.013146264002425596
1000,399,0.021616313999984413
1000,8,0.00015172600047662853
1000,815,0.05366308800294064
1000,871,0.05633867000578903
1000,308,0.01762861600262113
1000,256,0.016202694000676275
1000,847,0.058598206004826354
1000,62,0.003285909997066483
1000,817,0.05403150199796073
1000,364,0.01957025400130078
1000,90,0.00482139200437814
1000,222,0.015181735992664471
1000,395,0.019887718005338683
1000,989,0.0670184839994181
1000,202,0.013466824000934139
1000,843,0.054592798001831394
1000,51,0.0021896359976381063
1000,501,0.027548659995663912
1000,670,0.037598760006949304
1000,572,0.02891081399633549
1000,620,0.030613077996531502
1000,569,0.02965738000231795
1000,977,0.06546493400121108
1000,316,0.016722502000629903
1000,993,0.06819650599383749
1000,91,0.004382746000774204
1000,609,0.03179729200550355
1000,57,0.003652409997303039
1000,231,0.014093451999360695
1000,182,0.013417603997513652
1000,676,0.039500469997292384
1000,542,0.02808859199867584
1000,788,0.05108453801018186
1000,376,0.02001807599910535
1000,324,0.01660938800079748
1000,472,0.02400395199772902
1000,880,0.059300487998407335
1000,707,0.03661265600239858
1000,298,0.01743808400235139
1000,204,0.013992033990798519
1000,904,0.0590444860025309
1000,608,0.02958845400135033
